,instances,Speed,Variability,Symmetry,Heel Press Time,Cycle Time,Cadence,Posture,Oscillation,Loading,Foot Press,Thrust,Double Support,Step Length,Step Speed,"Peak Angle Speed,",Maximum Swing Speed,Rotation Angle,Step Angle,Lift Angle,Swing Width,3D Path Length,Maximum Heel Height,Maximum Finger Tip Height,Minimum Finger Tip Height
0,0,1.32,1,4.0,1.054,1.054,1.05,1.06,0.043,0.044,0.044,0.045,0.985,0.98,1.265,1.28,0.999,1.001,4.075,4.147,114.06,113.99,114.29,113.21,4.39
1,0,1.29,0,0.9,1.119,1.137,1.06,1.065,0.406,0.567,0.05,0.055,0.81,0.85,4.365,5.66,0.984,1.016,36.297,49.905,111.21,111.3,113.21,112.68,12.09
2,0,1.25,1,-3.8,1.109,1.109,1.105,1.115,0.048,0.056,0.041,0.06,0.83,0.85,1.205,1.265,1.0,1.0,4.356,5.064,108.47,108.52,108.6,107.62,5.54
3,1,1.21,0,-6.3,1.185,1.162,1.155,1.16,0.215,0.103,0.07,0.109,0.935,0.66,2.83,1.64,1.02,0.981,18.119,8.848,102.78,104.17,103.9,103.45,9.26
4,1,1.2,1,-7.9,1.188,1.172,1.175,1.177,0.153,0.052,0.07,0.065,0.875,1.035,2.29,1.29,1.013,0.987,12.848,4.426,102.08,102.55,102.13,101.91,8.72
5,1,1.2,0,-8.4,1.235,1.213,1.165,1.165,0.567,0.406,0.075,0.09,0.89,0.68,5.635,4.345,1.018,0.982,45.902,33.499,102.13,102.7,103.0,103.0,12.0
6,2,1.37,0,1.0,1.239,1.215,1.14,1.145,0.648,0.46,0.087,0.084,0.83,1.0,6.1,4.655,1.019,0.981,52.323,37.868,102.95,102.81,105.26,104.8,13.32
7,2,1.46,0,-4.5,1.16,0.168,1.1,1.1,0.348,0.346,0.06,0.045,1.03,0.04,3.565,3.395,0.994,1.006,29.993,29.599,106.93,106.39,109.09,109.09,12.45
8,2,1.36,0,2.8,1.185,1.197,1.125,1.125,0.45,0.523,0.07,0.05,1.06,1.06,4.535,5.12,0.99,1.01,37.936,43.654,105.3,105.05,106.67,106.67,11.26
9,3,1.29,1,-4.8,1.167,1.17,1.157,1.155,0.086,0.068,0.085,0.078,0.72,0.95,1.39,1.385,0.998,1.002,7.837,5.833,103.48,102.92,103.67,103.9,9.78
10,3,1.3,1,-5.8,1.161,1.158,1.14,1.145,0.073,0.091,0.083,0.103,0.94,0.735,1.33,1.335,1.003,0.997,6.319,7.845,103.76,104.38,105.26,104.8,6.54
11,3,1.58,0,-7.4,1.114,1.093,1.045,1.035,0.56,0.401,0.055,0.069,0.95,0.94,5.14,3.99,1.018,0.982,50.277,36.633,114.13,114.08,114.83,115.94,13.42
12,4,1.45,0,0.9,1.029,1.025,0.995,0.995,0.154,0.139,0.054,0.064,0.945,0.71,2.175,1.79,1.004,0.996,14.985,13.511,117.95,118.53,120.6,120.6,9.58
13,4,1.47,0,3.5,1.039,1.064,0.985,0.98,0.34,0.626,0.06,0.066,0.94,0.425,3.635,5.825,0.976,1.025,32.764,58.79,119.32,121.93,11.83,122.45,12.16
14,4,1.49,0,1.8,1.05,1.033,0.99,0.985,0.502,0.381,0.045,0.06,0.625,0.77,4.88,3.955,1.016,0.984,47.823,36.892,120.7,120.77,121.21,121.83,15.98
15,5,1.21,1,1.3,1.14,1.134,1.14,1.135,0.059,0.069,0.065,0.04,0.985,0.72,1.325,1.27,1.006,0.994,5.197,6.089,105.51,106.35,105.26,105.73,5.51
16,5,1.15,0,-0.7,1.264,1.211,1.14,1.14,0.737,0.412,0.07,0.069,0.945,1.01,6.785,4.315,1.044,0.958,58.299,33.972,102.27,102.66,105.26,105.26,14.81
17,5,1.17,1,-1.8,1.162,1.16,1.16,1.16,0.056,0.062,0.066,0.05,0.94,0.8,1.285,1.265,1.002,0.998,4.807,5.382,103.49,103.78,103.45,103.45,5.28
